Comment,Designator,Footprint,JLCPCB Part #
27pf,"C1,C2",Capacitor_SMD:C_0805_2012Metric,C107113
0.1uF,"C3,C4,C9,C10,C11,C12,C13,C14,C15,C16,C17,C20",Capacitor_SMD:C_0805_2012Metric,C28233
10uF 35V,C5,Capacitor_SMD:C_0805_2012Metric,C440198
3.3uF,C6,Capacitor_SMD:C_0805_2012Metric,C159781
1uF,"C7,C8",Capacitor_SMD:C_0805_2012Metric,C28323
47uF,"C18,C21",Capacitor_SMD:C_0805_2012Metric,C1746
LBZX84C12LT1G,D1,bitcart:D_SOT-23_ANK,C12773
FerriteBead_Small,"FB1,FB2",Resistor_SMD:R_0603_1608Metric,C19330
PSU Comm,J1,bitcart:CONN-TH_6P-P2.00_PHD-2X3A,C2845614
2x9P 2mm,"J2,J9,J10",bitcart:CONN-TH_X2026WV-2-09D-46SN,C437089
455580003,J3,bitcrane:CONN-TH_50362462,C492365
61900411021,"J6,J7",bitcart:CONN_61900411021_WRE,C2982043
USB_C_Receptacle_USB2.0,J11,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2988369
353180420,"J14,J15",bitcrane:MOLEX_353180420,C54909
DMP3013SFV-7,Q1,Package_SON:Diodes_PowerDI3333-8,C264098
4.7k,"R1,R2,R3,R19,R20,R21,R24,R26,R28,R29,R32,R34",Resistor_SMD:R_0805_2012Metric,C17673
5.1k,"R4,R5",Resistor_SMD:R_0805_2012Metric,C27834
2.2k,R6,Resistor_SMD:R_0805_2012Metric,C17520
10k,"R7,R8,R9,R22,R23,R47,R48",Resistor_SMD:R_0805_2012Metric,C17414
12k,"R10,R12",Resistor_SMD:R_0805_2012Metric,C17444
1k,R11,Resistor_SMD:R_0805_2012Metric,C17513
36k,"R13,R14,R15,R16",Resistor_SMD:R_0805_2012Metric,C114527
33k,R17,Resistor_SMD:R_0805_2012Metric,C17633
22k,R18,Resistor_SMD:R_0805_2012Metric,C17560
FT4232HQ,U1,bitcrane:QFN50P900X900X105-65N,C2651882
RT9080-33GJ5,U2,bitaxe:RT9080-33GJ5,C841192
M93C46-WDW6TP,U3,bitcrane:TSSOP8_STM,C616741
EMC2305,U4,bitcart:QFN16_4x4MC_MCH,
12MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C251626