Designator,Mid X,Mid Y,Layer,Rotation
C1,104.08,-108.66,top,-90
C2,111,-108.79,top,90
C3,153.53,-63.18,top,-90
C4,141.06,-62.65,top,-90
C5,138.53,-62.63,top,-90
C6,107.99,-91.2,top,180
C7,104.28,-125.22,top,-90
C8,97.75,-124.76,top,-90
C9,107.9,-101.72,top,180
C10,117.64,-106.73,top,-90
C11,120.73,-89.84,top,0
C12,106.94,-93.59,top,180
C13,108.59,-98.33,top,180
C14,114.08,-88.78,top,90
C15,125.736,-99.424,top,0
C16,111.01,-114.78,top,180
C17,120.19,-114.67,top,0
C18,110.97,-116.93,top,180
C20,125.87,-66.14,top,180
C21,120.2,-117.09,top,0
D1,144.38,-62.66,top,-90
FB1,120.12,-112.73,top,180
FB2,110.93,-112.81,top,0
J1,159.21,-80.245,top,90
J2,72.07,-41.97,top,0
J3,157.2,-52.04,top,180
J6,121.74,-51.9025,top,180
J7,110.59,-51.9025,top,180
J9,93.5,-41.97,top,0
J10,72.07,-56,top,0
J11,111.09,-129.41,top,0
J14,143.77,-51.8325,top,180
J15,132.72,-51.8325,top,180
Q1,150.06,-60.915,top,-90
R1,72.21,-46.83,top,0
R2,69.96,-35.5,top,0
R3,74.8725,-35.5,top,180
R4,103.57,-128.73,top,-90
R5,118.36,-128.75,top,-90
R6,101.98,-98.23,top,0
R7,95.18,-95.596,top,90
R8,98.276,-95.596,top,90
R9,101.219,-95.579,top,90
R10,147.13,-64.58,top,-90
R11,120.67,-105.59,top,90
R12,114.37,-105.93,top,90
R13,141.6,-57.27,top,0
R14,131.13,-57.18,top,0
R15,119.7,-56.96,top,0
R16,108.69,-57.17,top,0
R17,120.87,-67.31,top,180
R18,120.87,-69.5,top,180
R19,131.52,-91.17,top,0
R20,98.86,-54.14,top,-90
R21,101.72,-54.14,top,-90
R22,140.63,-68.86,top,0
R23,140.61,-66.7,top,0
R24,93.7925,-46.83,top,0
R26,95.68,-35.5,top,180
R28,70.0025,-49.65,top,0
R29,74.19,-49.65,top,180
R32,72.21,-61.02,top,0
R34,87.8825,-35.5,top,0
R47,112.32,-63.21,top,180
R48,106.89,-63.21,top,0
U1,116.135,-97.17,top,90
U2,101.02,-122.79,top,90
U3,95.7936,-99.605001,top,90
U4,131.31,-65.2,top,0
Y1,107.83,-108.91,top,-90